Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
C3	gene	C3	Expert Review Green;NHS GMS;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hemolytic uremic syndrome, atypical, susceptibility to, 5, OMIM:612925;C3 glomerulopathy;C3G	120700			24172683;20852386;18796626;21902819;26471127			3		3.8		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000125730	ENSG00000125730	HGNC:1318													
CFB	gene	CFB	Expert Review Green;NHS GMS;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Haemolytic uraemic syndrome;aHUS;Hemolytic uremic syndrome, atypical, susceptibility to, 4, 612924;C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;MPGN;Membranoproliferative glomerulonephritis	138470			25758434;17182750;21902819;26283675			3		3.8		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000243649	ENSG00000243649	HGNC:1037													
CFH	gene	CFH	NHS GMS;Expert Review Green;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BIALLELIC, autosomal or pseudoautosomal	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;Hemolytic uremic syndrome, atypical, susceptibility to, 1, 235400;Dense Deposit Disease;Membranoproliferative Glomerulonephritis Type II;Immune-complex-mediated MPGN	134370			24172683;16612335;24722444;27458560;9312129			3		3.8			ENSG00000000971	ENSG00000000971	HGNC:4883													
CFHR1	gene	CFHR1	Expert Review Green;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;Hemolytic uremic syndrome, atypical, susceptibility to, 235400;Immune-complex-mediated MPGN	134371			24172683;23728178;24334459;20800271;27458560			3		3.8			ENSG00000244414	ENSG00000244414	HGNC:4888													
CFHR2	gene	CFHR2	Expert Review Green;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;Immune-complex-mediated MPGN	600889			24172683;24334459;23728178;20800271;22456601;27458560			3		3.8			ENSG00000080910	ENSG00000080910	HGNC:4890													
CFHR5	gene	CFHR5	Expert Review Green;NHS GMS;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;Nephropathy due to CFHR5 deficiency, OMIM:614809;Immune-complex-mediated MPGN;CFHR5 nephropathy;Haematuria;Chronic Kidney Disease;Proteinuria;End stage renal disease	608593			24172683;20800271;24067434;23728178;27458560;21566112;32928961;22503529;30844074;28729035;27490940;28729035;27490940;33753502;30197990			3		3.8		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000134389	ENSG00000134389	HGNC:24668													
CFI	gene	CFI	Expert Review Green;NHS GMS;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN;Immune-complex-mediated MPGN;Hemolytic uremic syndrome, atypical, susceptibility to, 3,612923	217030			24172683;18371543;22456601;27458560			3		3.8			ENSG00000205403	ENSG00000205403	HGNC:5394													
DGKE	gene	DGKE	NHS GMS;Expert Review Green;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BIALLELIC, autosomal or pseudoautosomal	Haemolytic uraemic syndrome;aHUS;Hemolytic uremic syndrome, atypical, susceptibility to, 7, 615008;Nephrotic syndrome, type 7, 615008;C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN	601440			23274426;23542698;21902819;28526779			3		3.8			ENSG00000153933	ENSG00000153933	HGNC:2852													
CD46	gene	CD46	Expert Review Red;Expert list	Membranoproliferative glomerulonephritis including C3 glomerulopathy			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Haemolytic uraemic syndrome;aHUS;Hemolytic uremic syndrome, atypical, susceptibility to, 2, 612922;C3 glomerulopathy;C3G;Immune complex MPGN;IC-MPGN	120920			24172683;22456601;14615110;21902819			1		3.8			ENSG00000117335	ENSG00000117335	HGNC:6953													
