Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
HNF4A	gene	HNF4A	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Fanconi renotubular syndrome 4, with maturity-onset diabetes of the young, OMIM:616026	600281			24285859;25819479			3		6.0			ENSG00000101076	ENSG00000101076	HGNC:5024													
HOGA1	gene	HOGA1	Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Primary Hyperoxaluria;Hyperoxaluria, primary, type III, 613616;Hyperoxaluria	613597						3		6.0			ENSG00000241935	ENSG00000241935	HGNC:25155													
HPRT1	gene	HPRT1	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Hyperuricemia, HRPT-related, OMIM:300323;Lesch-Nyhan syndrome, OMIM:300322	308000			31129767;27079129			3		6.0			ENSG00000165704	ENSG00000165704	HGNC:5157													
KCNJ1	gene	KCNJ1	Expert Review Green;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Antenatal Bartter Syndrome;Bartter syndrome, type 2, 241200;Type 2 Bartter syndrome;often initial transient hyperkalemia	600359						3		6.0			ENSG00000151704	ENSG00000151704	HGNC:6255													
MOCOS	gene	MOCOS	Expert Review Green;Literature	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Xanthinuria, type II, OMIM:603592	613274			11302742;17368066;14624414;25967871;34356852;32073534;30758870;27919260			3		6.0			ENSG00000075643	ENSG00000075643	HGNC:18234													
OCRL	gene	OCRL	Expert Review Green;Expert;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lowe syndrome, OMIM:309000;Dent disease 2, OMIM:300555;As for CLCN5 (Nephrocalcinosis with low molecular weight proteinuria and pregressive CKD) but may include intellectual disability and other features of Lowe syndrome	300535			33517444			3		6.0			ENSG00000122126	ENSG00000122126	HGNC:8108													
PHEX	gene	PHEX	Expert Review Green;Literature;Expert list	Nephrocalcinosis or nephrolithiasis			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Hypophosphatemic rickets, X-linked dominant 307800	300550			31514490;29460029			3		6.0			ENSG00000102174	ENSG00000102174	HGNC:8918													
RRAGD	gene	RRAGD	NHS GMS;Expert Review Green;Other	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	hypomagnesaemia;nephrocalcinosis;salt wasting;cardiomyopathy;tubular renal disease-cardiomyopathy syndrome, MONDO:0019130	608268			34607910			3		6.0		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000025039	ENSG00000025039	HGNC:19903													
SLC12A1	gene	SLC12A1	Expert Review Green;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Bartter syndrome, type 1, OMIM:601678;Bartter disease type 1, MONDO:0100344	600839			21631963;21189980;20219833;19513753;19096086;18830715;17998760;16807401;8640224;9355073;28095294;32506365			3		6.0			ENSG00000074803	ENSG00000074803	HGNC:10910													
SLC22A12	gene	SLC22A12	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Hypouricemia, renal, 220150	607096			29486147;29958533;18492088;15912381			3		6.0			ENSG00000197891	ENSG00000197891	HGNC:17989													
SLC2A9	gene	SLC2A9	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Hypouricemia, renal, 2, 612076	606142			19926891;21256783;19026395;21810765;29486147;24940677			3		6.0			ENSG00000109667	ENSG00000109667	HGNC:13446													
SLC34A1	gene	SLC34A1	Expert Review Green;Expert;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Nephrolithiasis/osteoporosis, hypophosphatemic, 1, 612286;Hypophosphatemic Nephrolithiasis/Osteoporosis;Hypophosphatemic Nephrolithiasis/Osteoporosis (recessive);Nephrolithiasis with osteoporosis and hypophosphatemia;Nephrolithiasis with osteoporosis and hypophosphatemia	182309			PMID: 26047794;25050900;12324554			3		6.0			ENSG00000131183	ENSG00000131183	HGNC:11019													
SLC34A3	gene	SLC34A3	NHS GMS;Expert Review Green;Expert;Radboud University Medical Center, Nijmegen;UKGTN	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Hypophosphatemic rickets with hypercalciuria, OMIM:241530;HHRH;hereditary hypophosphatemic rickets with hypercalciuria, MONDO:0009431	609826			25296721;26543054;24924704;24700880;16358214;27939817;24700880;17968493			3		6.0			ENSG00000198569	ENSG00000198569	HGNC:20305													
SLC3A1	gene	SLC3A1	Expert Review Green;Eligibility statement prior genetic testing;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Cystinuria 220100	104614						3		6.0			ENSG00000138079	ENSG00000138079	HGNC:11025													
SLC4A1	gene	SLC4A1	Expert Review Green;Eligibility statement prior genetic testing;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	distal renal tubular acidosis;Renal tubular acidosis, distal, AD, 179800;Renal tubular acidosis, distal, AR 611590	109270						3		6.0			ENSG00000004939	ENSG00000004939	HGNC:11027													
SLC7A9	gene	SLC7A9	Expert Review Green;Eligibility statement prior genetic testing;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal	Cystinuria 220100	604144						3		6.0			ENSG00000021488	ENSG00000021488	HGNC:11067													
STRADA	gene	STRADA	Expert Review Green;Other	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Polyhydramnios, megalencephaly, and symptomatic epilepsy, 611087	608626			27170158;17522105;28688840			3		6.0			ENSG00000266173	ENSG00000266173	HGNC:30172													
VIPAS39	gene	VIPAS39	Expert Review Green;Literature	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Arthrogryposis, renal dysfunction, and cholestasis 2, OMIM:613404	613401			20190753			3		6.0			ENSG00000151445	ENSG00000151445	HGNC:20347													
VPS33B	gene	VPS33B	Expert Review Green;Literature	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Arthrogryposis, renal dysfunction, and cholestasis 1, OMIM:208085	608552			15052268;22753090			3		6.0			ENSG00000184056	ENSG00000184056	HGNC:12712													
WDR72	gene	WDR72	Expert Review Green;NHS GMS;Expert list	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	distal renal tubular acidosis, MONDO:0015827;Amelogenesis imperfecta, type IIA3, OMIM:613211;amelogenesis imperfecta hypomaturation type 2A3, MONDO:0013181	613214			30028003;30779877;31959358;33033857			3		6.0			ENSG00000166415	ENSG00000166415	HGNC:26790													
XDH	gene	XDH	Expert Review Green;Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Xanthinuria, type I, 278300	607633			27604308;9153281			3		6.0			ENSG00000158125	ENSG00000158125	HGNC:12805													
SLC9A3R1	gene	SLC9A3R1	Expert Review Amber;Expert;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287	604990						2		6.0			ENSG00000109062	ENSG00000109062	HGNC:11075													
ADCY10	gene	ADCY10	Expert Review Red;Expert	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown		605205			PMID: 24907563 (review)			1		6.0			ENSG00000143199	ENSG00000143199	HGNC:21285													
AGK	gene	AGK	Expert Review Red;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis				Hyperoxaluria, primary, type 1, 259900	610345						1		6.0			ENSG00000006530	ENSG00000006530	HGNC:21869													
AP2S1	gene	AP2S1	Expert Review Red;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypocalciuric hypercalcemia, familial, type III, 600740;Familial hypocalciuric hypercalcemia type III	602242						1		6.0			ENSG00000042753	ENSG00000042753	HGNC:565													
CLCNKA	gene	CLCNKA	Expert Review Red;Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis			Other	Bartter syndrome, type 4b, digenic, OMIM:613090;Bartter disease type 4B, MONDO:0000909	602024			15044642;18310267;32488762			1		6.0			ENSG00000186510	ENSG00000186510	HGNC:2026													
FGF23	gene	FGF23	Expert list	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown		605380						1		6.0			ENSG00000118972	ENSG00000118972	HGNC:3680													
GNA11	gene	GNA11	Radboud University Medical Center, Nijmegen	Nephrocalcinosis or nephrolithiasis				Hypocalciuric hypercalcemia, type II, 145981	139313						1		6.0			ENSG00000088256	ENSG00000088256	HGNC:4379													
SLC26A1	gene	SLC26A1	Expert Review Red;Expert list	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Nephrolithiasis, calcium oxalate, MIM#167030	610130			27210743;20160351;30383413;27125215;24250268;36719378			1		6.0			ENSG00000145217	ENSG00000145217	HGNC:10993													
SLC26A6	gene	SLC26A6	Literature	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Enteric hyperoxaluria and nephrolithiasis	610068			35115415			1		6.0			ENSG00000225697	ENSG00000225697	HGNC:14472													
SLC36A2	gene	SLC36A2	Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal		608331						1		6.0			ENSG00000186335	ENSG00000186335	HGNC:18762													
SLC6A19	gene	SLC6A19	Expert	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal		608893			19033659			1		6.0			ENSG00000174358	ENSG00000174358	HGNC:27960													
SLC6A20	gene	SLC6A20	Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal		605616						1		6.0			ENSG00000163817	ENSG00000163817	HGNC:30927													
SLC9A3	gene	SLC9A3	Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal		182307						1		6.0			ENSG00000066230	ENSG00000066230	HGNC:11073													
TRPM6	gene	TRPM6	Expert Review Red;Illumina TruGenome Clinical Sequencing Services	Nephrocalcinosis or nephrolithiasis			BIALLELIC, autosomal or pseudoautosomal	Hypomagnesemia with Secondary Hypocalcemia	607009						1		6.0			ENSG00000119121	ENSG00000119121	HGNC:17995													
VDR	gene	VDR	Expert	Nephrocalcinosis or nephrolithiasis			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown		601769						1		6.0			ENSG00000111424	ENSG00000111424	HGNC:12679													
ZNF365	gene	ZNF365	Expert Review Red;Expert	Nephrocalcinosis or nephrolithiasis			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Possible cause of uric acid stones;{Nephrolithiasis, uric acid, susceptibility to}	607818						1		6.0			ENSG00000138311	ENSG00000138311	HGNC:18194													
