Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
BBS7	gene	BBS7	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 7	607590			12567324			3		13.2			ENSG00000138686	ENSG00000138686	HGNC:18758													
BBS9	gene	BBS9	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Bardet Biedl syndrome 9	607968			16380913			3		13.2			ENSG00000122507	ENSG00000122507	HGNC:30000													
C5orf42	gene	C5orf42	Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome;Oral-facial-digital syndrome type VI;Joubert syndrome 17	614571			22693042;25920555;22425360			3		13.2			ENSG00000197603	ENSG00000197603	HGNC:25801													
CC2D2A	gene	CC2D2A	Orphanet;Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 9;COACH syndrome;Joubert syndrome with oculorenal defect;Meckel syndrome 6;Meckel syndrome	612013						3		13.2			ENSG00000048342	ENSG00000048342	HGNC:29253													
CENPF	gene	CENPF	Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Stromme syndrome, OMIM:243605;Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome	600236			26820108			3		13.2			ENSG00000117724	ENSG00000117724	HGNC:1857													
CEP104	gene	CEP104	Expert Review Green;Radboud University Medical Center, Nijmegen;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 25, 616781;Joubert syndrome 25	616690			26477546			3		13.2			ENSG00000116198	ENSG00000116198	HGNC:24866													
CEP164	gene	CEP164	Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	ciliopathies;Nephronophthisis 15;Senior-Loken syndrome;Nephronophthisis 15, 614845	614848						3		13.2			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP164	gene	CEP164	Expert Review Green;Expert	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease	614848						3		13.2			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP290	gene	CEP290	Orphanet;Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	610189;Meckel syndrome 4;Senior-Loken syndrome;611755;Joubert syndrome 5;Joubert syndrome with oculorenal defect;610188;Senior-Loken syndrome 6;611134;Meckel syndrome	610142			20690115;18327255			3		13.2			ENSG00000198707	ENSG00000198707	HGNC:29021													
CEP41	gene	CEP41	Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 15	610523			22246503			3		13.2			ENSG00000106477	ENSG00000106477	HGNC:12370													
CEP83	gene	CEP83	Expert Review Green;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	NEPHRONOPHTHISIS 18	615847			24882706			3		13.2			ENSG00000173588	ENSG00000173588	HGNC:17966													
CEP83	gene	CEP83	Orphanet;Expert Review Green;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 18 615862	615847			24882706			3		13.2			ENSG00000173588	ENSG00000173588	HGNC:17966													
CFAP47	gene	CFAP47	Expert Review Green;NHS GMS;Literature	Cystic renal disease			X-LINKED: hemizygous mutation in males, biallelic mutations in females	polycystic kidney disease, MONDO:0020642				39698362			3		13.2		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000165164	ENSG00000165164	HGNC:26708													
CLCN5	gene	CLCN5	Expert Review Green;NHS GMS;Literature	Cystic renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Dent disease 1, OMIM:300009;Hypophosphatemic rickets, OMIM:300554;Nephrolithiasis, type I, OMIM:310468;Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis, OMIM:308990	300008			7922301;8559248;9259268;9187673;9602200;14569459;16041495;16247550;19673950;37641036			3		13.2			ENSG00000171365	ENSG00000171365	HGNC:2023													
COL4A1	gene	COL4A1	Expert Review Green;Expert Review	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Exophytic renal cysts;raised creatinine kinase;tortuous retinal vessels;intracranial anuerysms;haematuria;Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps 611773	120130			18160688;20818663			3		13.2			ENSG00000187498	ENSG00000187498	HGNC:2202													
CRB2	gene	CRB2	Expert Review;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Ventriculomegaly with cystic kidney disease 219730	609720			25557780			3		13.2			ENSG00000148204	ENSG00000148204	HGNC:18688													
CSPP1	gene	CSPP1	Orphanet;Expert Review Green;Expert list;Other	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome;Meckel syndrome;Joubert syndrome 21;Meckel-Gruber syndrome	611654			24360807;24360803;24360808			3		13.2			ENSG00000104218	ENSG00000104218	HGNC:26193													
CYP24A1	gene	CYP24A1	Expert Review Green;NHS GMS;Expert list	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Hypercalcemia, infantile, 1, OMIM:143880;hypercalcemia, infantile, 1, MONDO:0020739	126065			27105398;28324001;21675912;22337913;24235083;26214117;2712945;34307984;38504242;33249478			3		13.2			ENSG00000019186	ENSG00000019186	HGNC:2602													
DDX59	gene	DDX59	Expert Review Green;Expert list;Radboud University Medical Center, Nijmegen;UKGTN;Expert Review Green	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Orofaciodigital syndrome V, 174300	615464			29127725;23972372;28711741			3		13.2			ENSG00000118197	ENSG00000118197	HGNC:25360													
DHCR7	gene	DHCR7	Expert Review Green;UKGTN	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Smith-Lemli-Opitz syndrome, OMIM:270400	602858			9634533			3		13.2			ENSG00000172893	ENSG00000172893	HGNC:2860													
DLG5	gene	DLG5	NHS GMS;Expert Review Green;Literature	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Yuksel-Vogel-Bauser syndrome, OMIM:620703	604090			32631816;30791088;17765678;35361250			3		13.2			ENSG00000151208	ENSG00000151208	HGNC:2904													
DNAJB11	gene	DNAJB11	Expert Review Green;Other	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	cystic kidney disease;end stage renal failure;non-enlarged kidney;Polycystic kidney disease;Tubulointerstitial kidney disease	611341			29706351			3		13.2			ENSG00000090520	ENSG00000090520	HGNC:14889													
DYNC2H1	gene	DYNC2H1	Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Other;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Short-rib thoracic dysplasia 3 with or without polydactyly, OMIM:613091	603297						3		13.2			ENSG00000187240	ENSG00000187240	HGNC:2962													
DZIP1L	gene	DZIP1L	Expert Review Green;Expert Review	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Polycystic kidney disease 5, OMIM:617610;polycystic kidney disease 5, MONDO_0033281	617570			28530676;35211789			3		13.2		Other - please provide details in the comments	ENSG00000158163	ENSG00000158163	HGNC:26551													
FLCN	gene	FLCN	Expert Review Green;Expert Review;Literature	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Birt-Hogg-Dube syndrome, OMIM:135150;renal cysts;cutaneous fibrofolliculoma;pneumothorax;pulmonary cysts;renal cell carcinoma;renal oncocytoma	607273			19785621;31266032			3		13.2			ENSG00000154803	ENSG00000154803	HGNC:27310													
GANAB	gene	GANAB	Expert Review Green;Expert Review	Cystic renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Mild cystic kidney and liver disease;Polycyctic kidney disease 3	104160			Porath B, Gainullin VG, Cornec-Le Gall E, Dillinger EK, Heyer CM, Hopp K, Edwards ME, Madsen CD, Mauritz SR, Banks CJ, Baheti S, Reddy B, Herrero JI, Ba ales JM, Hogan MC, Tasic V, Watnick TJ, Chapman AB, Vigneau C, Lavainne F, Audr zet MP, Ferec C, Le Meur Y, Torres VE, Genkyst Study Group, HALT Progression of Polycystic Kidney Disease Group, Consortium for Radiologic Imaging Studies of Polycystic Kidney Disease, Harris PC. Mutations in GANAB, Encoding the Glucosidase II  Subunit, Cause Autosomal-Dominant Polycystic Kidney and Liver Disease. Am J Hum Genet. 2016 Jun 2;98(6):1193-207. doi: 10.1016/j.ajhg.2016.05.004. PubMed PMID: 27259053, PubMed Central PMCID: PMC4908191.			3		13.2			ENSG00000089597	ENSG00000089597	HGNC:4138													
GLA	gene	GLA	NHS GMS;Expert Review Green;Expert	Cystic renal disease			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Fabry disease, OMIM:301500;Fabry disease, MONDO:0010526;Renal cyst, HP:0000107;renal parapelvic cysts	300644			29770213;28371803;27061865;21290670;15327390;15091117			3		13.2			ENSG00000102393	ENSG00000102393	HGNC:4296													
GLIS2	gene	GLIS2	Expert Review Green;NHS GMS;Illumina TruGenome Clinical Sequencing Services;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Cystic renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 7, OMIM:611498	608539			17618285;18227149;23559409;26374130;31676329			3		13.2			ENSG00000126603	ENSG00000126603	HGNC:29450													
