Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ANOS1	gene	ANOS1	Expert Review Green	Unexplained young onset end-stage renal disease			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1), OMIM:308700	300836			9719154;11531922			3		13.1			ENSG00000011201	ENSG00000011201	HGNC:6211													
AP2S1	gene	AP2S1	Expert Review Green;NHS GMS	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Familial hypocalciuric hypercalcemia type III 600740	602242			23222959			3		13.1			ENSG00000042753	ENSG00000042753	HGNC:565													
APOA1	gene	APOA1	NHS GMS;Expert Review Green	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Amyloidosis, 3 or more types OMIM:105200;familial visceral amyloidosis MONDO:0007099	107680			27240838;21820994;16925563;32022753			3		13.1			ENSG00000118137	ENSG00000118137	HGNC:600													
APOA2	gene	APOA2	NHS GMS;Expert Review Green	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		107670			29270531;11703582;12787390;11401442			3		13.1			ENSG00000158874	ENSG00000158874	HGNC:601													
APOC2	gene	APOC2	NHS GMS;Expert Review Green	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		608083			30197986;27297947			3		13.1			ENSG00000234906	ENSG00000234906	HGNC:609													
APOE	gene	APOE	Expert Review Green;Literature	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lipoprotein glomerulopathy, OMIM:611771	107741			10432380;9176854;18077821;31092271			3		13.1			ENSG00000130203	ENSG00000130203	HGNC:613													
APRT	gene	APRT	Expert Review Green;Expert	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	"Adenine phosphoribosyltransferase deficiency	614723"	102600						3		13.1			ENSG00000198931	ENSG00000198931	HGNC:626													
AQP2	gene	AQP2	NHS GMS;Expert Review Green;Other	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Diabetes insipidus, nephrogenic, 125800;Nephrogenic diabetes insipidus	107777			8140421;7524315;9048343;9649557;9302264;9745427;11929850;12050236;15509592			3		13.1			ENSG00000167580	ENSG00000167580	HGNC:634													
ARHGDIA	gene	ARHGDIA	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephrotic syndrome, type 8 #615224	601925			23434736;23867502;30295827			3		13.1			ENSG00000141522	ENSG00000141522	HGNC:678													
ARL13B	gene	ARL13B	Expert Review Green;Expert list;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 8	608922			18674751;25138100			3		13.1			ENSG00000169379	ENSG00000169379	HGNC:25419													
ARL6	gene	ARL6	Eligibility statement prior genetic testing;Expert list;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	{Bardet Biedl syndrome 1, modifier of};Bardet-Biedl Syndrome;268000;Bardet Biedl syndrome 3	608845			15258860;21282186			3		13.1			ENSG00000113966	ENSG00000113966	HGNC:13210													
ARMC9	gene	ARMC9	Expert Review Green;NHS GMS	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 30, OMIM:617622	617612			28625504			3		13.1			ENSG00000135931	ENSG00000135931	HGNC:20730													
ATP1A1	gene	ATP1A1	Expert Review Green;NHS GMS	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypomagnesemia, seizures, and mental retardation 2 618314;Charcot-Marie-Tooth disease, axonal, type 2DD, 618036	182310			30388404			3		13.1			ENSG00000163399	ENSG00000163399	HGNC:799													
ATP6V0A4	gene	ATP6V0A4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 3, with or without sensorineural hearing loss, OMIM:602722	605239			27274828;32123165;23729491;25572248;26208211;26571219;27247958;28233610;29202719;29725771;30230413;30256676;31348261;31929293;32613277;33881640;34159584			3		13.1			ENSG00000105929	ENSG00000105929	HGNC:866													
ATP6V0A4	gene	ATP6V0A4	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert;Radboud University Medical Center, Nijmegen;Illumina TruGenome Clinical Sequencing Services;UKGTN	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Distal renal tubular acidosis 3, with or without sensorineural hearing loss, OMIM:602722	605239			27274828;32123165;23729491;25572248;26208211;26571219;27247958;28233610;29202719;29725771;30230413;30256676;31348261;31929293;32613277;33881640;34159584			3		13.1			ENSG00000105929	ENSG00000105929	HGNC:866													
ATP6V1B1	gene	ATP6V1B1	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert;UKGTN;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Renal tubular acidosis with deafness, 267300;Distal Renal Tubular Acidosis with Progressive Nerve Deafness;Distal renal tubular acidosis	192132						3		13.1			ENSG00000116039	ENSG00000116039	HGNC:853													
ATP6V1B1	gene	ATP6V1B1	NHS GMS;Expert Review Green;Eligibility statement prior genetic testing;Expert	Unexplained young onset end-stage renal disease			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Distal renal tubular acidosis 2 with progressive sensorineural hearing loss, OMIM:267300;renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss, MONDO:0009968	192132			39837581;9916796;12566520;18798332			3		13.1			ENSG00000116039	ENSG00000116039	HGNC:853													
